ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10552,AAS,1020,100,Lecture,"4","Nemata Blyden, Guilherme Lemos","TuTh 12:30pm - 1:45pm","Wilson Hall 301","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Open,163,180,1
10557,AAS,1020,101,Discussion,"0","Guilherme Lemos","Tu 6:00pm - 6:50pm","New Cabell Hall 207","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Open,19,20,0
10556,AAS,1020,102,Discussion,"0","Guilherme Lemos","Tu 5:00pm - 5:50pm","New Cabell Hall 315","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Wait List,20,20,0
10555,AAS,1020,103,Discussion,"0","Nathan Frank","We 5:00pm - 5:50pm","New Cabell Hall 291","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Wait List,20,20,0
10554,AAS,1020,104,Discussion,"0","Nathan Frank","We 7:00pm - 7:50pm","New Cabell Hall 415","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Wait List,20,20,0
10558,AAS,1020,105,Discussion,"0","Guilherme Lemos","Tu 7:00pm - 7:50pm","New Cabell Hall 211","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Open,17,20,0
10553,AAS,1020,106,Discussion,"0","Nathan Frank","We 6:00pm - 6:50pm","New Cabell Hall 415","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Open,16,20,0
12236,AAS,1020,107,Discussion,"0","Chloe Porche","Tu 4:00pm - 4:50pm","New Cabell Hall 032","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Wait List,20,20,1
12237,AAS,1020,108,Discussion,"0","Chloe Porche","Tu 5:00pm - 5:50pm","New Cabell Hall 338","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Wait List,20,20,0
12238,AAS,1020,109,Discussion,"0","Chloe Porche","Tu 6:00pm - 6:50pm","New Cabell Hall 211","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Introduction to African-American and African Studies II","",Open,11,20,0
13083,AAS,2500,001,SEM,"3","Shelby Sinclair","TuTh 2:00pm - 3:15pm","New Cabell Hall 044","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Topics Course in Africana Studies","Black Life, Power, and the Archive",Wait List,15,15,0
13059,AAS,2500,002,SEM,"3","Liana Richardson","MoWe 5:00pm - 6:15pm","New Cabell Hall 287","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Topics Course in Africana Studies","Race, Class & Gender",Open,15,16,1
14317,AAS,2500,004,SEM,"3","Naseemah Mohamed","TuTh 9:30am - 10:45am","New Cabell Hall 315","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Topics Course in Africana Studies","African Liberation:Struggles for Freedom",Open,14,18,0
20025,AAS,2559,001,Lecture,"3","Robin Means Coleman","We 4:00pm - 6:30pm","Wilson Hall 238","01/13/2025 - 04/29/2025","","","","","","","","","","","","","New Course in African and African American Studies","African Americans in Popular Culture",Closed,15,15,0
21274,AAS,3113,001,Lecture,"3","Robin Means Coleman","Mo 4:00pm - 6:30pm","Wilson Hall 238","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Horror Noire: A History of Black Americans in Horror","",Open,13,14,0
14318,AAS,3157,001,SEM,"3","FATIMA SIWAJU","Tu 3:30pm - 6:00pm","New Cabell Hall 211","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Caribbean Perspectives","",Open,19,20,0
19102,AAS,3500,001,SEM,"3","Kache Claytor","MoWe 3:30pm - 4:45pm","New Cabell Hall 064","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Intermediate Seminar in African-American & African Studies","Race, Gender & Environmental Justice-Latin America",Open,15,16,0
13432,AAS,3500,002,SEM,"3","Nasrin Olla","TuTh 3:30pm - 4:45pm","John W. Warner Hall 110","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Intermediate Seminar in African-American & African Studies","Rethinking Race and Gender",Open,4,20,0
13598,AAS,3500,003,SEM,"3","Ashon Crawley","Mo 6:00pm - 8:30pm","New Cabell Hall 303","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Intermediate Seminar in African-American & African Studies","Introduction to Black Queer Film",Open,16,20,0
13969,AAS,3500,005,SEM,"3","Kimberly Fields","Tu 3:30pm - 6:00pm","John W. Warner Hall 113","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Intermediate Seminar in African-American & African Studies","Race, Class, Politics & the Environoment",Wait List,30,30,2
13970,AAS,3500,006,SEM,"3","Kimberly Fields","We 6:00pm - 8:30pm","New Cabell Hall 411","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Intermediate Seminar in African-American & African Studies","Environmental Justice Across the Globe",Open,16,20,0
13968,AAS,3500,007,SEM,"3","Michael Carter Jr., Lisa Shutt","Tu 2:00pm - 4:30pm","New Cabell Hall 303","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Intermediate Seminar in African-American & African Studies","Africulture: The African Roots of US Agriculture",Open,24,25,0
13972,AAS,3500,008,SEM,"3","Liana Richardson","We 2:00pm - 4:30pm","New Cabell Hall 207","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Intermediate Seminar in African-American & African Studies","Race & Medicine in Post-19th Century America",Wait List,16,16,0
19105,AAS,3559,001,SEM,"3","Darren Kelly","TuTh 12:30pm - 1:45pm","New Cabell Hall 364","01/13/2025 - 04/29/2025","","","","","","","","","","","","","New Course in African and African American Studies","African Americans in Sport",Closed,18,17,0
19106,AAS,3559,002,SEM,"3","Salma Mutwafy","TuTh 9:30am - 10:45am","New Cabell Hall 364","01/13/2025 - 04/29/2025","","","","","","","","","","","","","New Course in African and African American Studies","Africa's Youth: Cultural & Political Perspectives",Open,14,16,0
20594,AAS,3559,004,SEM,"3","Shelby Sinclair","TuTh 11:00am - 12:15pm","New Cabell Hall 315","01/13/2025 - 04/29/2025","","","","","","","","","","","","","New Course in African and African American Studies","Haiti and the US",Open,22,25,0
20076,AAS,3559,005,SEM,"3","Guy Emerson Mount","Mo 2:00pm - 4:30pm","New Cabell Hall 068","01/13/2025 - 04/29/2025","","","","","","","","","","","","","New Course in African and African American Studies","Reparations&History of the Black Radical Tradition",Open,6,16,0
19101,AAS,3830,001,SEM,"3","Njelle Hamilton","MoWe 2:00pm - 3:15pm","Dell 2 102","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Being Human: Race, Technology, and the Arts","",Open,14,16,0
12748,AAS,4080,002,IND,"3","Lisa Shutt","TBA","TBA","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Distinguished Major Thesis II","",Open,1,10,0
13084,AAS,4080,003,IND,"3","Kimberly Fields","TBA","TBA","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Distinguished Major Thesis II","",Open,0,10,0
13085,AAS,4080,004,IND,"3","Theresa Davis","TBA","TBA","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Distinguished Major Thesis II","",Open,1,10,0
13431,AAS,4501,001,SEM,"4","Lisa Shutt","Th 2:00pm - 5:30pm","Pavilion V 110","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Advanced Research Seminar in History & AAS","Engaging Local Histories: River View Farm",Open,8,10,0
13430,AAS,4570,001,SEM,"3","Naseemah Mohamed","Tu 6:00pm - 8:30pm","New Cabell Hall 056","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Advanced Research Seminar in African-American & African Studies","Know Thyself: Research Ancestry, Heritage, Culture",Open,9,14,0
21088,AAS,4993,001,IND,"1 - 12","Lisa Shutt","TBA","TBA","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Independent Study","",Closed,2,2,0
19099,AAS,7000,001,SEM,"3","Kevin Gaines","Th 3:30pm - 6:00pm","New Cabell Hall 056","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Introduction to Africana Studies","",Open,6,12,0
13092,AAS,9710,001,IND,"12","Kevin Gaines","TBA","TBA","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Woodson Institute Fellows Pre- and Post-Doctoral Research","",Open,7,15,0
20088,ACCT,3010,701,Lecture,"3","Nammy Lee, -","Mo 6:30pm - 9:30pm","Web-Based Course","01/13/2025 - 04/28/2025","","","","","","","","","","","","","Introductory Accounting I","",Open,20,24,0
20777,ACCT,3020,701,Lecture,"3","Rich Lahijani, -","Mo 6:30pm - 9:30pm","Web-Based Course","01/13/2025 - 04/28/2025","","","","","","","","","","","","","Introductory Accounting II","",Open,13,24,0
20089,ACCT,5110,701,Lecture,"3","Leon Hutton, -","Tu 6:30pm - 9:30pm","Web-Based Course","01/14/2025 - 04/29/2025","","","","","","","","","","","","","Intermediate Accounting I","",Open,21,24,0
20090,ACCT,5120,701,Lecture,"3","Ambrose Jones, -","We 6:30pm - 9:30pm","Web-Based Course","01/15/2025 - 04/23/2025","","","","","","","","","","","","","Intermediate Accounting II","",Open,13,24,0
20091,ACCT,5200,701,Lecture,"3","Richard Evans, -","Th 6:30pm - 9:30pm","Web-Based Course","01/16/2025 - 04/24/2025","","","","","","","","","","","","","Introduction to Accounting Information Systems","",Open,31,32,0
20600,ACCT,5250,701,Lecture,"3","Derek Henrichs, -","We 6:30pm - 9:30pm","Web-Based Course","01/15/2025 - 04/23/2025","","","","","","","","","","","","","Advanced Auditing","",Open,9,24,0
20294,ACCT,5310,701,Lecture,"3","Dana Lee, -","Mo 6:30pm - 9:30pm","Web-Based Course","01/13/2025 - 04/28/2025","","","","","","","","","","","","","Selected Topics in Advanced Accounting","",Open,14,24,0
20092,ACCT,5410,701,Lecture,"3","Michael Hood, -","Tu 6:30pm - 9:30pm","Web-Based Course","01/14/2025 - 04/29/2025","","","","","","","","","","","","","Fraud Examination","",Open,18,24,0
20184,ACCT,5450,701,Lecture,"3","Harvey Hutchinson, -","We 6:30pm - 9:30pm","Web-Based Course","01/15/2025 - 04/23/2025","","","","","","","","","","","","","Federal Taxation I","",Open,9,24,0
20598,ACCT,5460,701,Lecture,"3","Travis Bartee, -, -, -","Tu 6:30pm - 9:30pm","Web-Based Course","01/14/2025 - 04/29/2025","","","","","","","","","","","","","Federal Taxation II","",Open,10,24,0
16669,AIRS,100,001,Laboratory,"0","Glen Gilson, Zachary Jones","Tu 3:30pm - 5:30pm","Wilson Hall 301","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Leadership Laboratory","",Open,62,100,0
16664,AIRS,1200,001,Lecture,"1","Kevin Bibb","Tu 1:00pm - 1:50pm","Chemistry Bldg 217","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Foundations of USAF II","",Open,19,50,0
16665,AIRS,1200,002,Lecture,"1","Kevin Bibb","We 1:00pm - 1:50pm","Shannon House 107","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Foundations of USAF II","",Open,8,35,0
16717,AIRS,2200,001,Lecture,"1","Kevin Bibb, David Gupton","Tu 2:00pm - 2:50pm","Dell 2 100","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Team and Leadership Fundamentals II","",Open,11,35,0
16666,AIRS,2200,002,Lecture,"1","Kevin Bibb, David Gupton","We 2:00pm - 2:50pm","Shannon House 107","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Team and Leadership Fundamentals II","",Open,10,35,0
16667,AIRS,3200,001,Lecture,"3","Kevin Bibb, Glen Gilson","Tu 12:30pm - 1:45pm","Astronomy Bldg 265","01/13/2025 - 04/29/2025","Kevin Bibb, Glen Gilson","Tu 2:00pm - 3:00pm","Astronomy Bldg 265","01/13/2025 - 04/29/2025","","","","","","","","","Concepts of Air Force Leadership and Management","",Open,3,25,0
16670,AIRS,3200,002,Lecture,"3","Kevin Bibb, Glen Gilson","Mo 12:30pm - 3:00pm","Astronomy Bldg 139","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Concepts of Air Force Leadership and Management","",Open,3,15,0
16668,AIRS,4200,001,Lecture,"3","Jason Bell, -, Kevin Bibb","Tu 12:30pm - 1:45pm","Astronomy Bldg 139","01/13/2025 - 04/29/2025","Jason Bell, -, Kevin Bibb","Tu 2:00pm - 3:00pm","Astronomy Bldg 139","01/13/2025 - 04/29/2025","","","","","","","","","National Security Affairs/Preparation for Active Duty","",Open,7,24,0
16671,AIRS,4200,002,Lecture,"3","Jason Bell, Kevin Bibb","We 8:30am - 11:00am","Astronomy Bldg 139","01/13/2025 - 04/29/2025","","","","","","","","","","","","","National Security Affairs/Preparation for Active Duty","",Open,5,24,0
10378,ALAR,8020,001,STO,"6","John Comazzi","TuTh 12:30pm - 5:00pm","Campbell Hall 401","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Research Studio 2","",Open,7,80,0
10408,ALAR,8020,002,STO,"6","Zhang Ke, Shiqiao Li","TuTh 12:30pm - 5:00pm","Campbell Hall 401","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Research Studio 2","",Open,12,25,0
10443,ALAR,8020,003,STO,"6","Earl Mark","TuTh 12:30pm - 5:00pm","Campbell Hall 401","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Research Studio 2","",Open,10,25,0
10388,ALAR,8020,004,STO,"6","Kyle Schumann","TuTh 12:30pm - 5:00pm","Campbell Hall 401","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Research Studio 2","",Open,5,15,0
10425,ALAR,8995,001,STO,"6","Bradley Cantrell","TuTh 12:30pm - 5:00pm","Campbell Hall 401","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Thesis II","",Closed,2,2,0
10449,ALAR,8995,002,STO,"6","Matthew Jull, Sasson Rafailov","TuTh 12:30pm - 5:00pm","Campbell Hall 401","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Thesis II","",Open,16,28,0
19755,ALAR,8995,003,STO,"6","Cermetrius Bohannon","TuTh 12:30pm - 5:00pm","Campbell Hall 401","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Thesis II","",Open,1,2,0
21505,ALAR,8995,004,STO,"6","Brian Davis","TuTh 12:30pm - 5:00pm","Campbell Hall 401","01/13/2025 - 04/29/2025","","","","","","","","","","","","","Thesis II","",Closed,1,1,0
